id,smiles,IC50,pIC50,MolecularWeight,LogP,HydrogenBondDonors,HydrogenBondAcceptors,TopologicalPolarSurfaceArea,NumberofRotatableBonds,NumberofValenceElectrons,NumberofAromaticRings,Fractionofsp3Carbons,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusofGyration,InertialShapeFactor,SpherocityIndex
291,COC1=C(O)C=CC(=C1)C1=C(O)C(=O)C2=C(O)C=C(O)C=C2O1,31.59,4.5,316.265,2.291,4,7,120.36,2,118,3,0.0625,0.515827742,0.979744274,0.200252736,0.852151034,935.2346161,3979.776555,4670.271341,3.892798235,0.000911163,0.112439173
292,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,43.98,4.357,270.24,2.5768,3,5,90.9,1,100,3,0,0.574409478,0.985304284,0.170808277,0.83791196,635.6313611,3118.13413,3721.314745,3.718930955,0.001318236,0.024466565
293,COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(=C2O1)C1=C(OC)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(OC)C=C2O1,1.09,5.963,580.545,6.043,3,10,148.8,6,216,6,0.090909091,0.140083776,0.863809416,0.50381871,0.829502287,6443.072886,10608.06911,12788.47482,5.069483088,0.000128743,0.462416978
294,COC1=CC(O)=C2C(=O)C=C(OC2=C1)C1=CC(=C(OC)C=C1)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,2.98,5.526,566.518,5.74,4,10,159.8,5,210,6,0.0625,0.165772151,0.880815758,0.473459186,0.890652077,5559.780726,10458.83234,11742.89334,4.949936865,0.000160196,0.515586604
295,COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(=C2O1)C1=C(OC)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,2.33,5.633,566.518,5.74,4,10,159.8,5,210,6,0.0625,0.217413215,0.910327403,0.413888898,0.798255179,5119.260019,9873.364179,12368.68165,4.914129034,0.000155932,0.334545318
296,OC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C(=C2O1)C1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1,75.825,4.12,538.464,5.134,6,10,181.8,3,198,6,0,0.22430198,0.912885094,0.408216616,0.779041462,4323.216376,8250.435375,10590.49586,4.637830021,0.0001802,0.302384077
297,COC1=C(C=C(C=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1)C1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,11.19,4.951,552.491,5.437,5,10,170.8,4,204,6,0.032258065,0.165486719,0.88159716,0.472002592,0.868362916,5064.58543,9317.529696,10729.99494,4.767206904,0.000171458,0.497601456
298,CCCCCC\C=C/CCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,1.19,5.924,374.565,7.2803,2,2,57.53,16,152,1,0.625,0.728729937,0.994796208,0.101884758,0.985522313,1377.717508,13326.54042,13522.31222,6.138333216,0.00071533,0.145167715
299,CCCCCCCCCCCCCC1=C(C(O)=O)C(O)=CC=C1,3.57,5.447,320.473,5.9439,2,2,57.53,13,130,1,0.65,0.742439818,0.995402685,0.095778366,0.978201497,889.1963988,9081.521103,9283.89614,5.480960643,0.001100096,0.13877916
300,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCC1=CC=CC=C1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C1=NC2=CC=CC=C2S1,0.094,7.027,635.787,3.9719,4,8,155.59,14,240,3,0.454545455,0.574529065,0.985377544,0.170385141,0.908929187,3850.025591,20538.17965,22596.0173,6.078622913,0.000236084,0.143159345
301,CCOC(=O)C=C[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCC1=CC=CC=C1)C(C)C,0.286,6.544,572.703,2.5986,4,7,151.93,15,226,1,0.566666667,0.079450684,0.791233149,0.611514598,0.781745132,6749.491092,8628.382413,11037.33437,4.802277912,0.000115823,0.507955811
302,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)OCC1=CC=CC=C1)C(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,0.065,7.187,587.718,1.573,5,7,171.8,15,232,1,0.6,0.442877731,0.970329148,0.241787811,0.883068793,4560.936428,16657.66615,18863.38445,5.839492806,0.000193616,0.218031104
303,OCCN1[Se]C2=CC=CC=C2C1=O,0.65,6.187,242.136,0.0508,1,3,42.23,2,68,2,0.222222222,0.493846698,0.977086684,0.212841751,0.90354473,249.0268911,1057.156003,1170.009594,2.261244488,0.003628302,0.187696589
304,OC(=O)CN1[Se]C2=CC=CC=C2C1=O,0.41,6.387,256.119,0.1431,1,3,59.3,2,72,2,0.111111111,0.544107496,0.982593698,0.185767661,0.904423377,271.7310019,1322.942158,1462.746532,2.443102188,0.003328378,0.144583755
305,OC(=O)CCN1[Se]C2=CC=CC=C2C1=O,0.35,6.456,270.146,0.5332,1,3,59.3,3,78,2,0.2,0.49178266,0.976939746,0.213515183,0.836805455,437.9423497,1716.376995,2051.106364,2.789913344,0.001910766,0.108391737
306,OC(=O)C1=CC=C(C=C1)N1[Se]C2=CC=CC=C2C1=O,0.13,6.886,318.19,1.7459,1,3,59.3,2,94,3,0,0.828851902,0.998151046,0.060782319,0.960260365,298.5207559,4716.135478,4911.309111,3.949372667,0.003216729,0.054361684
307,[O-][N+](=O)C1=CC=CC(=C1)N1[Se]C2=CC=CC=C2C1=O,0.15,6.824,319.178,1.9559,0,4,65.14,2,94,3,0,0.693094329,0.993300136,0.115563144,0.9239681,474.2336732,3791.6655,4103.675763,3.62093083,0.001948339,0.078547607
308,[O-][N+](=O)C1=CC=C(C=C1)N1[Se]C2=CC=CC=C2C1=O,0.26,6.585,319.178,1.9559,0,4,65.14,2,94,3,0,0.829671802,0.998169986,0.060470485,0.96036814,295.7396139,4696.818706,4890.644025,3.934752058,0.003247344,0.059534486
309,O=C1N(CCN2CCOCC2)[Se]C2=CC=CC=C12,0.24,6.62,311.243,0.3907,0,4,34.47,3,96,2,0.461538462,0.402562758,0.963340776,0.268280729,0.908862787,676.5799778,2292.070569,2521.91046,2.9699119,0.001343319,0.33493297
310,CC(C)(C)OC(=O)NCN1[Se]C2=CC=CC=C2C1=O,0.33,6.481,327.242,1.5407,1,4,60.33,2,102,2,0.384615385,0.514925054,0.979240018,0.202704185,0.936623062,680.6464677,3145.022287,3357.831357,3.312977867,0.001376079,0.258662386
311,O=C1N(CC2=CC=CO2)[Se]C2=CC=CC=C12,0.074,7.131,278.169,1.6998,0,3,35.14,2,80,3,0.083333333,0.581288184,0.985565051,0.169297167,0.963249867,340.2998228,1936.203456,2010.073941,2.775785887,0.002830592,0.265545845
312,O=C1NSC2=CC=CC=C12,0.66,6.18,151.19,1.5896,1,2,32.86,0,50,2,0,0.304599758,0.930971083,0.365092924,0.634907076,242.7398447,422.1315592,664.8714039,2.097042797,0.002615587,2.62E-12
313,CN1SC2=CC=CC=C2C1=O,0.78,6.108,165.217,1.6,0,3,22,0,56,2,0.125,0.375590788,0.955635164,0.294552939,0.709495465,247.3878849,595.8880703,839.8757988,2.256936152,0.002867947,0.033445777
314,CCCN1SC2=CC=CC=C2C1=O,0.73,6.137,193.271,2.473,0,3,22,2,68,2,0.3,0.50485136,0.978508729,0.206205403,0.846961495,285.8602726,1174.133368,1386.288957,2.713567718,0.002962851,0.116452032
315,OCCN1SC2=CC=CC=C2C1=O,0.41,6.387,195.243,1.0553,1,4,42.23,2,68,2,0.222222222,0.510978964,0.979205554,0.202870608,0.84978364,284.2589059,1190.702634,1401.183287,2.713954995,0.002989471,0.135771369
316,CC(C)CN1SC2=CC=CC=C2C1=O,0.48,6.319,207.298,2.719,0,3,22,2,74,2,0.363636364,0.47867871,0.975347376,0.220675093,0.875533887,339.6722694,1347.658128,1539.241539,2.789703981,0.002577584,0.184121377
317,C=CCN1SC2=CC=CC=C2C1=O,0.63,6.201,191.255,2.249,0,3,22,2,66,2,0.1,0.393822386,0.962308421,0.271960481,0.840870529,322.1966381,996.194948,1184.718591,2.558106294,0.002609805,0.209405401
318,NC1=CC=CC=C1N1SC2=CC=CC=C2C1=O,0.13,6.886,242.303,2.6344,1,4,48.02,1,84,3,0,0.519988802,0.980139193,0.198310771,0.896795447,425.4205454,1923.824942,2145.221576,3.045402554,0.002108021,0.139489994
319,O=C1N(CC2=CC=CC=C2)SC2=CC=CC=C12,0.17,6.77,241.315,3.1113,0,3,22,2,84,3,0.071428571,0.433370495,0.968168693,0.250298586,0.93394534,529.5504181,1975.924645,2115.674827,3.094338855,0.001763657,0.300911992
320,CC1=CC=C(C=C1)N1SC2=CC=CC=C2C1=O,0.175,6.757,241.315,3.36062,0,3,22,1,84,3,0.071428571,0.662822656,0.991676106,0.128757529,0.890751125,336.4498913,2327.577429,2613.050227,3.306660299,0.0026475,0.042871255
321,ClC1=CC=C(C=C1)N1SC2=CC=CC=C2C1=O,0.39,6.409,261.733,3.7056,0,3,22,1,84,3,0,0.729811027,0.994990327,0.09997124,0.914347135,333.1706509,3047.212683,3332.664988,3.581093393,0.002744381,0.042455722
322,O=C1N(CC2=CC=CO2)SC2=CC=CC=C12,0.11,6.959,231.276,2.7043,0,4,35.14,2,80,3,0.083333333,0.445888347,0.97035741,0.241674361,0.920845626,449.6784432,1713.398254,1860.679147,2.949412582,0.002047787,0.286219188
323,O=C1N(CCCC2=CC=CC=C2)SC2=CC=CC=C12,0.41,6.387,269.369,3.6958,0,3,22,4,96,3,0.1875,0.611679923,0.987877863,0.155233142,0.980395992,603.1095354,3809.020181,3885.185385,3.924460722,0.001625569,0.259848576
324,O=C1N(SC2=CC=CC=C12)C1=CC=CC=C1,0.2367,6.626,227.288,3.0522,0,3,22,1,78,3,0,0.596200408,0.987170448,0.159669995,0.863148933,333.093271,1800.645768,2086.135658,3.046818096,0.002591313,0.043321656
325,COC(=O)C1=CC=C(C=C1)N1SC2=CC=CC=C2C1=O,0.36,6.444,285.324,2.8388,0,5,48.3,2,100,3,0.066666667,0.758546049,0.996101772,0.088211454,0.927810939,398.5269129,4191.719033,4517.859033,3.995120326,0.002328101,0.032770663
326,CCCNC(=O)N1SC2=CC=CC=C2C1=O,0.23,6.638,236.296,2.0307,1,4,51.1,2,84,2,0.272727273,0.650503359,0.990908657,0.134536364,0.869140617,361.8530036,2337.666439,2689.629726,3.376890043,0.002401916,0.029208343
327,CCCCNC(=O)N1SC2=CC=CC=C2C1=O,0.91,6.041,250.323,2.4208,1,4,51.1,3,90,2,0.333333333,0.690967398,0.993185273,0.116546189,0.887274791,401.9487818,3060.065911,3448.836756,3.715355743,0.002207432,0.030425714
328,O=C(NCC1=CC=CO1)N1SC2=CC=CC=C2C1=O,0.38,6.42,274.301,2.4139,1,5,64.24,2,96,3,0.076923077,0.59915839,0.987196558,0.159508479,0.946846212,526.4460693,3124.996673,3300.426862,3.559771449,0.001798563,0.199619275
329,COC1=C(CC2=CN(C)C3=CC=C(NC(=O)OC4CCCC4)C=C23)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C,46.68,4.331,575.687,5.69592,2,7,115.73,8,214,4,0.290322581,0.329645322,0.947959816,0.318389992,0.781566784,5590.990473,13724.46544,17560.19539,5.659285981,0.00013979,0.139201844
330,ClCCN(N=O)C(=O)NC1CCCCC1,5.86,5.232,233.699,2.2509,1,3,61.77,4,86,0,0.888888889,0.592150486,0.986868773,0.161524069,0.898034954,461.4708129,2565.666672,2856.97863,3.548110954,0.001946028,0.176269825
331,CC1=CC(C(C#N)C2=CC=C(Cl)C=C2)=C(Cl)C=C1NC(=O)C1=C(O)C(I)=CC(I)=C1,5.3,5.276,663.08,7.1244,2,3,73.12,4,152,3,0.090909091,0.527749121,0.980920519,0.194409198,0.90573341,4166.280207,19410.29142,21430.46862,5.825621504,0.000217396,0.190646677
332,CCCCC(CC)CNC(=N)N=C(N)NCCCCCCNC(N)=NC(=N)NCC(CC)CCCC,22.76,4.643,508.804,3.83694,8,2,172.58,19,210,0,0.846153846,0.737541593,0.995237901,0.097475747,0.967078688,2448.881235,24295.89851,25122.97997,7.139346967,0.000394906,0.104252294
333,CC1=CC(=O)C2=CC=CC=C2C1=O,8.1067,5.091,172.183,2.0119,0,2,34.14,0,64,1,0.090909091,0.297942343,0.928279936,0.371882187,0.631283897,392.3827867,666.0844315,1055.126599,2.477425662,0.001608847,0.026487311
334,O=C1C=CC(=O)C2=CC=CC=C12,0.4,6.398,158.156,1.6218,0,2,34.14,0,58,1,0,0.258304307,0.894340346,0.447387243,0.552612757,380.097289,469.4962008,849.5934898,2.317729517,0.001453872,8.09E-15
335,ClC1=CC(=O)C2=CC=CC=C2C1=O,1.92,5.717,192.601,2.1883,0,2,34.14,0,64,1,0,0.377596159,0.95587706,0.293766993,0.706233007,390.9176673,939.7889,1330.706567,2.628523604,0.001806603,3.72E-14
336,OC1=CC=CC2=C1C(=O)C=CC2=O,7.78,5.109,174.155,1.3274,1,3,54.37,0,64,1,0,0.262826349,0.900617273,0.434613078,0.565386922,438.4591006,570.3902023,1008.849303,2.406828665,0.001289486,9.73E-14
337,OC1=C2C(=O)C=CC(=O)C2=C(O)C=C1,0.49,6.31,190.154,1.033,2,4,74.6,0,70,1,0,0.25495,0.88823994,0.459379809,0.540620191,544.4518752,640.7370773,1185.188952,2.496554577,0.000992962,3.23E-12
338,CC1=CC(=O)C2=C(C=CC=C2O)C1=O,9.21,5.036,188.182,1.7175,1,3,54.37,0,70,1,0.090909091,0.305382333,0.931851063,0.362841007,0.639855454,450.388694,794.2422621,1241.283882,2.570035283,0.001420674,0.023732674
339,OC1=C(Cl)C(Cl)=C(O)C2=C1C(=O)C=CC2=O,1.53,5.815,259.044,2.3398,2,4,74.6,0,82,1,0,0.29735364,0.92728206,0.374363435,0.625636565,815.172935,1362.317865,2177.4908,2.899288251,0.000767489,1.20E-12
340,O[C@H]1[C@H]2[C@H](CC(O)=O)C(=O)O[C@@H]3[C@H]4COC(=O)C5=CC(O)=C(O)C(O)=C5C5=C(O)C(O)=C(O)C=C5C(=O)O[C@@H]3[C@@H](OC(=O)C3=CC(O)=C(O)C(OC1=O)=C23)[C@H](OC(=O)C1=CC(O)=C(O)C(O)=C1)O4,9.09,5.041,954.664,-0.0017,13,26,447.09,4,356,4,0.243902439,0.170788374,0.873297144,0.48718795,0.682389781,13641.85149,19107.7387,28001.20874,5.640735376,5.00E-05,0.26864884
341,OC1O[C@@H]2COC(=O)C3=CC(O)=C(O)C(O)=C3C3=C4C(=O)OC5=C(O)C(O)=C(C6=C5C4=C(OC6=O)C(O)=C3O)C3=C(O)C(O)=C(O)C=C3C(=O)O[C@H]2[C@@H]2OC(=O)C3=CC(O)=C(O)C(O)=C3C3=C(O)C(O)=C(O)C=C3C(=O)O[C@@H]12,4.62,5.335,1084.722,1.9586,17,30,518.76,0,400,8,0.125,0.251771233,0.924584415,0.380977242,0.799766374,12429.11033,26091.80655,32624.28553,5.726622926,6.43E-05,0.26297778
342,COC1=CC(CN2[Se]C3=CC=CC=C3C2=O)=CC=C1,0.363,6.44,318.234,2.1154,0,3,31.23,3,96,3,0.133333333,0.565378966,0.98443089,0.175772078,0.932265164,608.0223615,3224.847047,3459.152151,3.384820833,0.001533274,0.23396543
343,O=C(N1CCOCC1)C1=CC(=CC=C1)N1[Se]C2=CC=CC=C2C1=O,0.702,6.154,387.297,1.5201,0,4,51.54,2,122,3,0.222222222,0.411397299,0.965328218,0.261039139,0.820788675,1357.839182,4269.470967,5201.66895,3.739010575,0.000604482,0.185492882
344,O=C(N1CCOCC1)C1=CC(CN2[Se]C3=CC=CC=C3C2=O)=CC=C1,0.345,6.462,401.324,1.5792,0,4,51.54,3,128,3,0.263157895,0.269130022,0.928845973,0.370466137,0.743226993,1751.658393,3514.166799,4728.255075,3.528652185,0.000424299,0.24755978
